animal_id,name,datetime,datetime2,found_location,intake_type,intake_condition,animal_type,sex_upon_intake,age_upon_intake,breed,color
A665497,Jake,2013-10-18T18:52:00.000,2013-10-18T18:52:00.000,Austin (TX),Public Assist,Normal,Dog,Intact Male,3 years,Australian Cattle Dog Mix,Blue/Black
A665498,Marbles,2013-10-18T18:56:00.000,2013-10-18T18:56:00.000,5502 Rose Hill Cir in Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,3 years,Collie Smooth Mix,Blue Merle/Tan
A649033,Willow,2013-10-19T10:30:00.000,2013-10-19T10:30:00.000,Bolm Rd And Airport Blvd in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Boxer Mix,Black Brindle/White
A647894,Harley,2013-10-19T10:30:00.000,2013-10-19T10:30:00.000,Bolm Rd And Airport Blvd in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Boxer Mix,Tan/White
A665547,,2013-10-19T11:02:00.000,2013-10-19T11:02:00.000,6707 Colony Park Cove in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Chinese Sharpei Mix,Cream
A665548,Baby,2013-10-19T11:16:00.000,2013-10-19T11:16:00.000,Austin (TX),Owner Surrender,Normal,Other,Intact Female,1 year,Rabbit Sh Mix,Tan/White
A663372,Nutmeg,2013-10-19T11:16:00.000,2013-10-19T11:16:00.000,Austin (TX),Owner Surrender,Normal,Other,Unknown,2 months,Rabbit Sh Mix,Brown
A663373,Snowball,2013-10-19T11:16:00.000,2013-10-19T11:16:00.000,Austin (TX),Owner Surrender,Normal,Other,Unknown,2 months,Rabbit Sh Mix,White/Tan
A663374,Cinnimen,2013-10-19T11:16:00.000,2013-10-19T11:16:00.000,Austin (TX),Owner Surrender,Normal,Other,Unknown,2 months,Rabbit Sh Mix,Brown
A663375,Itzie,2013-10-19T11:16:00.000,2013-10-19T11:16:00.000,Austin (TX),Owner Surrender,Normal,Other,Unknown,2 months,Rabbit Sh Mix,Brown
A663376,Floppy,2013-10-19T11:16:00.000,2013-10-19T11:16:00.000,Austin (TX),Owner Surrender,Normal,Other,Unknown,2 months,Rabbit Sh Mix,Brown
A665549,Bella,2013-10-19T11:23:00.000,2013-10-19T11:23:00.000,5508 Ferret Path in Austin (TX),Stray,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White/Brown Tabby
A665550,Lupe,2013-10-19T11:32:00.000,2013-10-19T11:32:00.000,168 Green Mountain Drive in Travis (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White
